Name;Currency;Type;Sub Type;Market;Isin Code;Industry;Supersector;Sector;Subsector;Average Training Hours Per Employee;Number Of Female Board Members;Number Of Board Members;Market Cap In Usd;Carbon Footprint (Total Ghg Emissions / Enterprise Value)_In_Usd;Share Of Women In Total Workforce In %;Share Of Women In Management Bodies In %;Gender Pay Gap In %;Rate Of Employees With Disabilities In %;Board Gender Diversity (Female Board Members / Total Board Members) In %;Total Energy Consumption In Mwh;Rate Of Resignation In %;Component;Isin;Ticker;Trading Location;Issuer Country;Turnover;Turnover In Eur;Volume;Roa;Roe;Roic;Ccy;Index;Component;Ticker
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Euronext Paris;Netherlands;53411712.575;53411712.575;1334676.0;13.0;28.5;23.0;EUR;CAC_40;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Euronext Paris;Netherlands;53411712.575;53411712.575;1334676.0;13.0;28.5;23.0;EUR;MIB;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Euronext Paris;Netherlands;53411712.575;53411712.575;1334676.0;13.0;28.5;23.0;EUR;MIB;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Euronext Paris;Netherlands;83107070.94;83107070.94;2072125.0;13.0;28.5;23.0;EUR;CAC_40;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Euronext Paris;Netherlands;83107070.94;83107070.94;2072125.0;13.0;28.5;23.0;EUR;CAC_40;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Euronext Paris;Netherlands;83107070.94;83107070.94;2072125.0;13.0;28.5;23.0;EUR;MIB;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Euronext Paris;Netherlands;83107070.94;83107070.94;2072125.0;13.0;28.5;23.0;EUR;MIB;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Bosa Milano;Netherlands;53411712.575;53411712.575;1334676.0;12.8;25.9;23.2;EUR;CAC_40;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Bosa Milano;Netherlands;53411712.575;53411712.575;1334676.0;12.8;25.9;23.2;EUR;CAC_40;STMICROELECTRONICS NV;STM
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36780180000.0;27.9849;;;;;0.444;2878880.081;;Stmicroelectronics Nv;NL0000226223;STM;Bosa Milano;Netherlands;53411712.575;53411712.575;1334676.0;12.8;25.9;23.2;EUR;MIB;STMICROELECTRONICS NV;STM
