Name,Market Cap In Usd,Currency,Market,Index,Isin Code,Turnover In Eur,Issuer Country,Industry,Supersector,Sector,Subsector,Average Training Hours Per Employee,Number Of Female Board Members,Number Of Board Members,Share Of Women In Total Workforce In %,Share Of Women In Management Bodies In %,Gender Pay Gap In %,Rate Of Employees With Disabilities In %,Board Gender Diversity (Female Board Members / Total Board Members) In %,Total Energy Consumption In Mwh,Rate Of Resignation In %,Carbon Footprint (Total Ghg Emissions / Enterprise Value)_In_Usd,Roa,Roe,Roic
Schneider Electric SE,132210270000.00002,EUR,Euronext Paris,CAC_40,FR0000121972,170063754.75,France,"50, Industrials","5020, Industrial Goods and Services","502020, Electronic and Electrical Equipment","50202010, Electrical Components",24.1,7.0,14.0,0.33,0.41,0.03,,0.5,1201276.0,0.085,763.2417,6.3,15.7,13.8
Societe Generale,21182790000.0,EUR,Euronext Paris,CAC_40,FR0000130809,114832949.385,France,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",,7.0,15.0,,,,,0.467,454210.0,,,0.2,4.6,
Stellantis Nv,82315100000.0,EUR,Euronext Paris,CAC_40,NL00150001Q9,74803134.41,Netherlands,"40, Consumer Discretionary","4010, Automobiles and Parts","401010, Automobiles and Parts","40101020, Automobiles",,3.0,11.0,,,,,0.273,15494891.0,,6858.244394,7.4,24.1,19.7
Stellantis,82467040000.0,EUR,Euronext Milan,CAC_40,NL00150001Q9,74803134.41,Netherlands,"40, Consumer Discretionary","4010, Automobiles and Parts","401010, Automobiles and Parts","40101020, Automobiles",,3.0,11.0,,,,,0.273,15494891.0,,6858.244394,7.4,24.1,19.7
Stmicroelectronics,36780180000.0,EUR,Euronext Paris,CAC_40,NL0000226223,53411712.575,Netherlands,"10, Technology","1010, Technology","101020, Technology Hardware and Equipment","10102010, Semiconductors",,4.0,9.0,,,,,0.444,2878880.081,,27.9849,13.0,28.5,23.0
Teleperformance,5892490000.0,EUR,Euronext Paris,CAC_40,FR0000051807,23447528.96,France,"50, Industrials","5020, Industrial Goods and Services","502050, Industrial Support Services","50205020, Professional Business Support Services",,7.0,16.0,,,,,0.438,317975.0,,25.5623,6.3,15.2,10.5
Thales,34986860000.0,EUR,Euronext Paris,CAC_40,FR0000121329,40615927.4,France,"50, Industrials","5020, Industrial Goods and Services","502010, Aerospace and Defense","50201020, Defense",,,,,,,,,,,,2.7,12.9,10.0
Totalenergies,171981100000.0,EUR,Euronext Paris,CAC_40,FR0000120271,219069789.68,France,"60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101000, Integrated Oil and Gas",48.64,6.0,14.0,0.363,0.275,,0.06,0.429,167000000.0,0.091,1880.7629,5.8,7.8,11.6
Unibail-rodamco-westfield,11050960000.0,EUR,Euronext Paris,CAC_40,FR0013326246,24218467.7,France,"35, Real Estate","3510, Real Estate","351020, Real Estate Investment Trusts","35102045, Retail REITs",19.0,6.0,10.0,0.542,0.167,0.043,0.008,0.6,592834.0,0.094,80.6352,1.7,8.1,2.8
Veolia Environ.,22199290000.0,EUR,Euronext Paris,CAC_40,FR0000124141,48897763.4,France,"65, Utilities","6510, Utilities","651020, Gas, Water and Multi-utilities","65102030, Water",26.0,7.0,13.0,0.223,0.222,,0.024,0.538,122000000.0,0.086,1396.880613,2.4,2.0,6.2
Vinci,71348670000.0,EUR,Euronext Paris,CAC_40,FR0000125486,104749142.86,France,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101010, Construction",21.5,6.0,14.0,0.168,0.195,,0.018,0.429,10686843.0,0.104,468.4781,4.4,16.6,11.3
Vivendi Se,10878690000.0,EUR,Euronext Paris,CAC_40,FR0000127771,24219937.818,France,"40, Consumer Discretionary","4030, Media","403010, Media","40301035, Radio and TV Broadcasters",10.9,7.0,13.0,0.54,0.38,,0.01,0.538,155136.0,0.52,10.645216,1.2,2.8,2.5
